Ref,Block,Population,Value,Ordered MPN
Q8,"Battery connector, protection, polarity",FIT,AO3419,AO3419
R1,USB connector/shield/CC,FIT,1M,0603WAF1004T5E
R2,USB connector/shield/CC,FIT,5.1k,0603WAF5101T5E
R3,USB connector/shield/CC,FIT,5.1k,0603WAF5101T5E
R4,Buttons and alternate wake link,FIT,10k,0603WAF1002T5E
R5,"E-paper connector, power and logic",FIT,10k,0603WAF1002T5E
R6,Charger and USB indicator,FIT,4.7k,0603WAF4701T5E
R7,"Processor, boot, reset, UART",FIT,10k,0603WAF1002T5E
R8,SDMMC and power gating,FIT,10k,0603WAF1002T5E
R9,SDMMC and power gating,FIT,10k,0603WAF1002T5E
R10,Battery ADC,FIT,1M,0603WAF1004T5E
R11,Buttons and alternate wake link,FIT,12k,0603WAF1202T5E
R12,Battery ADC,FIT,1M,0603WAF1004T5E
R13,"Processor, boot, reset, UART",FIT,10k,0603WAF1002T5E
R14,"E-paper connector, power and logic",FIT,3,RCA033RFLF
R15,"E-paper connector, power and logic",FIT,10k,0603WAF1002T5E
R16,"Battery connector, protection, polarity",FIT,1k,0603WAF1001T5E
R17,USB status ADC,FIT,150k,0603WAF1503T5E
R18,Buttons and alternate wake link,FIT,5.6k,0603WAF5601T5E
R19,Buttons and alternate wake link,FIT,20k,0603WAF2002T5E
R20,Buttons and alternate wake link,FIT,56k,0603WAF5602T5E
R21,SDMMC and power gating,FIT,33,0603WAF330JT5E
R22,SDMMC and power gating,FIT,33,0603WAF330JT5E
R23,SDMMC and power gating,FIT,33,0603WAF330JT5E
R24,SDMMC and power gating,FIT,33,0603WAF330JT5E
R25,SDMMC and power gating,FIT,33,0603WAF330JT5E
R26,SDMMC and power gating,FIT,33,0603WAF330JT5E
R27,"Battery connector, protection, polarity",FIT,0,0603WAF0000T5E
R28,Buttons and alternate wake link,FIT,10k,0603WAF1002T5E
R29,"E-paper connector, power and logic",FIT,33,0603WAF330JT5E
R30,"E-paper connector, power and logic",FIT,33,0603WAF330JT5E
R31,"E-paper connector, power and logic",FIT,33,0603WAF330JT5E
R32,"E-paper connector, power and logic",FIT,33,0603WAF330JT5E
R33,"E-paper connector, power and logic",FIT,33,0603WAF330JT5E
R34,"E-paper connector, power and logic",FIT,33,0603WAF330JT5E
R35,Buttons and alternate wake link,FIT,33k,0603WAF3302T5E
R36,Buttons and alternate wake link,FIT,68k,0603WAF6802T5E
R37,"Frontlight boost, selection and ADC",FIT,13.3,ERJ3EKF13R3V
R38,Power mux,FIT,300k,0603WAF3003T5E
R39,"Frontlight boost, selection and ADC",FIT,1M,0603WAF1004T5E
R40,SDMMC and power gating,FIT,100k,0603WAF1003T5E
R41,"Frontlight boost, selection and ADC",FIT,120k,0603WAF1203T5E
R42,Touch connector and links,FIT,0,0603WAF0000T5E
R43,Touch connector and links,DNP,0,
R44,Touch connector and links,FIT,0,0603WAF0000T5E
R45,Touch connector and links,DNP,0,
R46,Touch connector and links,FIT,0,0603WAF0000T5E
R47,Expansion and shared ESD,FIT,2.2k,0603WAF2201T5E
R48,Expansion and shared ESD,FIT,2.2k,0603WAF2201T5E
R49,"Frontlight boost, selection and ADC",FIT,1M,0603WAF1004T5E
R50,"Frontlight boost, selection and ADC",FIT,1M,0603WAF1004T5E
R51,Power mux,FIT,100k,0603WAF1003T5E
R52,Touch connector and links,FIT,0,0603WAF0000T5E
R53,SDMMC and power gating,FIT,10k,0603WAF1002T5E
R54,SDMMC and power gating,FIT,10k,0603WAF1002T5E
R55,SDMMC and power gating,FIT,10k,0603WAF1002T5E
R56,"Battery connector, protection, polarity",FIT,10k,0603WAF1002T5E
R57,"Battery connector, protection, polarity",FIT,1M,0603WAF1004T5E
R58,Touch connector and links,DNP,0,
R59,Charger and USB indicator,FIT,2k,0603WAF2001T5E
R60,Buttons and alternate wake link,FIT,100,0603WAF1000T5E
R61,Buttons and alternate wake link,FIT,100,0603WAF1000T5E
R62,Power/wake button,FIT,10k,0603WAF1002T5E
R63,"Processor, boot, reset, UART",FIT,100,0603WAF1000T5E
R64,"Processor, boot, reset, UART",FIT,100,0603WAF1000T5E
R65,Expansion and shared ESD,FIT,33,0603WAF330JT5E
R66,Touch connector and links,DNP,0,
R67,USB status ADC,FIT,56k,0603WAF5602T5E
R68,Expansion and shared ESD,FIT,33,0603WAF330JT5E
R69,Expansion and shared ESD,FIT,33,0603WAF330JT5E
R70,USB status ADC,FIT,100k,0603WAF1003T5E
R71,USB status ADC,FIT,22k,0603WAF2202T5E
R72,Buttons and alternate wake link,DNP,10k,
R73,Buttons and alternate wake link,FIT,0,0603WAF0000T5E
R74,Buttons and alternate wake link,DNP,0,
R75,"Frontlight boost, selection and ADC",FIT,100k,0603WAF1003T5E
R76,Power/wake button,FIT,100k,0603WAF1003T5E
R77,SDMMC and power gating,FIT,100k,0603WAF1003T5E
R78,SDMMC and power gating,FIT,1k,0603WAF1001T5E
SW1,Buttons and alternate wake link,FIT,SW_Push,TS365ZJ
SW2,Buttons and alternate wake link,FIT,SW_Push,TS365ZJ
SW3,Buttons and alternate wake link,FIT,SW_Push,TS365ZJ
SW4,Buttons and alternate wake link,FIT,SW_Push,TS365ZJ
SW5,Buttons and alternate wake link,FIT,SW_Push,TS365ZJ
SW6,"Processor, boot, reset, UART",DNP,SW_Push,No Part Selected
SW7,Buttons and alternate wake link,FIT,SW_Push,TS365ZJ
SW8,Buttons and alternate wake link,FIT,SW_Push,TS365ZJ
SW9,Buttons and alternate wake link,FIT,SW_Push,TS365ZJ
SW10,Power/wake button,FIT,SW_Push,TS365ZJ
SW11,"Processor, boot, reset, UART",FIT,SW_Push,TS365ZJ
TP1,"Processor, boot, reset, UART",MECHANICAL/BARE PAD,TestPoint,
TP2,"Processor, boot, reset, UART",MECHANICAL/BARE PAD,TestPoint,
TP3,"Frontlight boost, selection and ADC",MECHANICAL/BARE PAD,TestPoint,
TP4,"Frontlight boost, selection and ADC",MECHANICAL/BARE PAD,TestPoint,
TP5,"Frontlight boost, selection and ADC",MECHANICAL/BARE PAD,TestPoint,
U1,SDMMC and power gating,FIT,TPD4E1U06DBVR,TPD4E1U06DBVR
U2,Power mux,FIT,TPS2116DRL,TPS2116DRLR
U3,3.3 V regulator,FIT,TLV75533PDBV,TLV75533PDBVR
U4,"Processor, boot, reset, UART",FIT,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1-N16R8
U5,"Battery connector, protection, polarity",FIT,DW01A,DW01A
U6,USB ESD,FIT,TPD4E1U06DBVR,TPD4E1U06DBVR
U7,Touch connector and links,FIT,TPD4E1U06DBVR,TPD4E1U06DBVR
U8,Expansion and shared ESD,FIT,TPD4E1U06DBVR,TPD4E1U06DBVR
U9,Expansion and shared ESD,FIT,TPD4E1U06DBVR,TPD4E1U06DBVR
U10,"Frontlight boost, selection and ADC",FIT,TPS923610DRLR,TPS923610DRLR
U11,Charger and USB indicator,FIT,TP4056-42-ESOP8,TP4056-42-ESOP8
U12,"Frontlight boost, selection and ADC",FIT,74LVC1G04,74LVC1G04GV
U13,Optional RTC,DNP,DS3231MZ,No Part Selected
