Ref,Schematic value,Ordered MPN,Manufacturer,Ordered LCSC,Upload LCSC,Population,PCB DNP flag,Passive value check,Review,Order description
C11,4.7u/50V,CL21A475KBQNNNE,Samsung Electro-Mechanics,C98192,C98192,FIT,False,match,4.7uF/50V X5R retained for e-paper high-voltage nodes; verify effective capacitance under DC bias.,4.7uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C12,4.7u,CL10A475KO8NNNC,Samsung Electro-Mechanics,C19666,C19666,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,16V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C13,4.7u/50V,CL21A475KBQNNNE,Samsung Electro-Mechanics,C98192,C98192,FIT,False,match,4.7uF/50V X5R retained for e-paper high-voltage nodes; verify effective capacitance under DC bias.,4.7uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C14,4.7u/50V,CL21A475KBQNNNE,Samsung Electro-Mechanics,C98192,C98192,FIT,False,match,4.7uF/50V X5R retained for e-paper high-voltage nodes; verify effective capacitance under DC bias.,4.7uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C15,4.7u/50V,CL21A475KBQNNNE,Samsung Electro-Mechanics,C98192,C98192,FIT,False,match,4.7uF/50V X5R retained for e-paper high-voltage nodes; verify effective capacitance under DC bias.,4.7uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C16,4.7u/50V,CL21A475KBQNNNE,Samsung Electro-Mechanics,C98192,C98192,FIT,False,match,4.7uF/50V X5R retained for e-paper high-voltage nodes; verify effective capacitance under DC bias.,4.7uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C17,4.7u/50V,CL21A475KBQNNNE,Samsung Electro-Mechanics,C98192,C98192,FIT,False,match,4.7uF/50V X5R retained for e-paper high-voltage nodes; verify effective capacitance under DC bias.,4.7uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C18,1u,CL21B105KBFNNNE,Samsung Electro-Mechanics,C28323,C28323,FIT,False,match,1uF/50V X7R retained. C9 needs sufficient effective output capacitance for LED converter.,1uF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C19,1u,CL21B105KBFNNNE,Samsung Electro-Mechanics,C28323,C28323,FIT,False,match,1uF/50V X7R retained. C9 needs sufficient effective output capacitance for LED converter.,1uF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C20,1u/50V,CL21B105KBFNNNE,Samsung Electro-Mechanics,C28323,C28323,FIT,False,match,1uF/50V X7R retained. C9 needs sufficient effective output capacitance for LED converter.,1uF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C21,1u,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,C15849,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C22,1u,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,C15849,FIT,False,match,"1uF connected to 3V3, but 51.84mm from U4 supply pad near panel; not MCU-local or RTC decoupling. RTC bypass is C30.",1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C23,2.2n,0603B222K500NT,FH (Guangdong Fenghua Advanced Tech),C1604,C1604,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,2.2nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C24,100n,CC0603KRX7R9BB104,YAGEO,C14663,C14663,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C25,1u,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,C15849,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C26,1u,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,C15849,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C27,2.2n,0603B222K500NT,FH (Guangdong Fenghua Advanced Tech),C1604,C1604,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,2.2nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C28,2.2n,0603B222K500NT,FH (Guangdong Fenghua Advanced Tech),C1604,C1604,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,2.2nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C29,2.2n,0603B222K500NT,FH (Guangdong Fenghua Advanced Tech),C1604,C1604,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,2.2nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C30,0.1u,CC0603KRX7R9BB104,YAGEO,C14663,C14663,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C31,100n,CC0603KRX7R9BB104,YAGEO,C14663,C14663,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C32,22u,TCC0805X5R226M250FT,CCTC,C20416420,C20416420,FIT,False,match,22uF/25V X5R CCTC matches nominal value/package. Effective capacitance at bias and temperature not established from catalog.,22uF 25V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C33,0.1u,CC0603KRX7R9BB104,YAGEO,C14663,C14663,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C36,0.1u,CC0603KRX7R9BB104,YAGEO,C14663,C14663,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C37,1u,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,C15849,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
CR1,TSD05CDYFR,SD05C,TECH PUBLIC,C907858,C907858,FIT,False,not applicable,SD05C rated 5.0V stand-off on USB VBUS; use 5.5V-rated alternative or confirm leakage over allowed source maximum.,1 100nA 20A@8/20us 300W@8/20us 35pF 5V 7V 7V、9V Bidirectional IEC 61000-4-2、IEC 61000-4-4 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS
CR2,TSD05CDYFR,SD05C,TECH PUBLIC,C907858,C907858,FIT,False,not applicable,5V TVS on 3.3V rail: no normal-DC stress; surge clamp is not a precision 3.3V overvoltage limit.,1 100nA 20A@8/20us 300W@8/20us 35pF 5V 7V 7V、9V Bidirectional IEC 61000-4-2、IEC 61000-4-4 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS
CR3,TSD05CDYFR,SD05C,TECH PUBLIC,C907858,C907858,FIT,False,not applicable,5V TVS on <=4.2V battery rail: no normal-DC stress; surge clamp not a battery overcharge controller.,1 100nA 20A@8/20us 300W@8/20us 35pF 5V 7V 7V、9V Bidirectional IEC 61000-4-2、IEC 61000-4-4 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS
D2,LED,P2-1206RTCS2-0.9T-F,TUOZHAN,C2827254,C2827254,FIT,False,not applicable,HOLD if unchanged: saved order is reverse mount. User requested C28310439; factory approval/current BOM not available locally.,-40℃~+85℃ 1.8V~2.4V 120° 20mA 250mcd 60mW 618nm~625nm 630nm Discrete Diode Red Reverse Mount Water Clear 1206 LED Indication - Discrete ROHS
D3,SMAJ26A,SMAJ26A,"Jiangsu Changjing Electronics Technology Co., Ltd.",C1509531,C1509531,FIT,False,not applicable,"Actual unidirectional SMAJ26A, pad1 cathode on LED output. 42.1V surge clamp does not guarantee IC protection.",-55℃~+150℃ 26V 31.9V 400W@10/1000us 42.1V 5uA 9.5A@10/1000us TVS Unidirectional SMAG ESD and Surge Protection (TVS/ESD) ROHS
D4,B5819W,B5819W,MDD(Microdiode Semiconductor),C64885,C64885,FIT,False,not applicable,40V B5819W charge-pump diode polarity/topology checked; qualify reverse overshoot and hot leakage during panel startup/refresh.,-55℃~+125℃ 1.5A 1mA@40V 25A 40V 600mV@1A Standalone SOD-123 Schottky Diodes ROHS
D5,B5819W,B5819W,MDD(Microdiode Semiconductor),C64885,C64885,FIT,False,not applicable,40V B5819W charge-pump diode polarity/topology checked; qualify reverse overshoot and hot leakage during panel startup/refresh.,-55℃~+125℃ 1.5A 1mA@40V 25A 40V 600mV@1A Standalone SOD-123 Schottky Diodes ROHS
D6,B5819W,B5819W,MDD(Microdiode Semiconductor),C64885,C64885,FIT,False,not applicable,40V B5819W charge-pump diode polarity/topology checked; qualify reverse overshoot and hot leakage during panel startup/refresh.,-55℃~+125℃ 1.5A 1mA@40V 25A 40V 600mV@1A Standalone SOD-123 Schottky Diodes ROHS
D8,PESD2IVN-UX,PESD2IVN-UX,TECH PUBLIC,C42370512,C42370512,FIT,False,not applicable,"Exact TECH PUBLIC 24V bidirectional drawing verified: signal1/2 common3, compatible. Not a precision 3.3V clamp or system ESD certification.",-55℃~+125℃ 10pF 150W@8/20us 200nA 24V 28V 30V 4A@8/20us SOT-323 ESD and Surge Protection (TVS/ESD) ROHS
F1,0805L100WR,0805L100WR,Littelfuse,C80270,C80270,FIT,False,not applicable,1A hold at 20C derates to about 0.65A at 60C/0.55A at 70C. Qualify full USB workload/temperature/drop; no USB current negotiation.,-40℃~+85℃ 1.5mm 1.8mm 1.95A 1A 2.2mm 210mΩ 300ms 40A 600mW 60mΩ 6V 0805 Resettable Fuses ROHS
H1,MountingHole_Pad,,,,,MECHANICAL/BARE PAD,False,not applicable,Expected order exclusion,
H2,MountingHole_Pad,,,,,MECHANICAL/BARE PAD,False,not applicable,Expected order exclusion,
H3,MountingHole_Pad,,,,,MECHANICAL/BARE PAD,False,not applicable,Expected order exclusion,
H4,MountingHole_Pad,,,,,MECHANICAL/BARE PAD,False,not applicable,Expected order exclusion,
H5,MountingHole_Pad,,,,,MECHANICAL/BARE PAD,False,not applicable,Expected order exclusion,
J1,USB_C_Receptacle,USB4085-GF-A,Global Connector Technology,C7095263,C7095263,FIT,False,not applicable,"GCT THT USB-C; verify connector soldering included in JLC scope. Tight pad gaps are footprint geometry, not unrouted shorts.",-40℃~+85℃ 1 48V 5A Black Female Right Angle Type-C USB 2.0 插件 USB Connectors ROHS
J2,FH34SRJ-24S-0.5SH_50_,FH34SRJ-24S-0.5SH(50),HRS(Hirose),C324726,C324726,FIT,False,not applicable,24-pin electrical mapping checked; confirm actual FPC thickness/contact orientation and panel variant.,"-55℃~+105℃ 0.3mm 0.5mm 1mm 24P Double-Sided Contacts, Top and Bottom Entry Gold Phosphor bronze Surface Mount, Right Angle SMD,P=0.5mm,卧贴 FFC, FPC (Flat Flexible) Connector Assemblies ROHS"
J3,FH34SRJ-6S-0.5SH_50_,FH34SRJ-6S-0.5SH(50),HRS(Hirose),C224194,C224194,FIT,False,not applicable,"User confirms physical FT01C sample matches schematic: C+,C-,NC,NC,W+,W-. Supplier drawing conflicts; no wiring change recommended for this sample. A unit following drawing would reverse-bias selected LED string; boost can reach OVP and damage LEDs. Retain lot/FPC check.","-55℃~+105℃ 0.3mm 0.5mm 1mm 6P Double-Sided Contacts, Top and Bottom Entry Gold Phosphor bronze Surface Mount, Right Angle SMD,P=0.5mm,卧贴 FFC, FPC (Flat Flexible) Connector Assemblies ROHS"
J4,FH34SRJ-6S-0.5SH_50_,FH34SRJ-6S-0.5SH(50),HRS(Hirose),C224194,C224194,FIT,False,not applicable,"Default links give GND,3V3,RST,INT,SDA,SCL. Mutually exclusive alternative links must stay DNP.","-55℃~+105℃ 0.3mm 0.5mm 1mm 6P Double-Sided Contacts, Top and Bottom Entry Gold Phosphor bronze Surface Mount, Right Angle SMD,P=0.5mm,卧贴 FFC, FPC (Flat Flexible) Connector Assemblies ROHS"
J5,Conn_01x02,A2001WR-2P,CJT(Changjiang Connectors),C48579993,C48579993,FIT,False,not applicable,"CJT 2mm right-angle connector in JST-PH footprint; pin1 B-, pin2 B+. Verify cable polarity and factory THT scope.","-40℃~+105℃ 1 100V 1x2P 2 2A 2P 2mm Brass PA66 PH Right Angle Tin UL94V-0 Push-Pull,P=2mm Wire To Board Connector ROHS"
J6,PPPC062LJBN-RC,A2541HWR-2x6P,CJT(Changjiang Connectors),C5333437,C5333437,FIT,False,not applicable,CJT right-angle 2x6 female header; high voltage LED rail and boot straps exposed; do not treat as generic GPIO header.,"-40℃~+105℃ 12P 2 2.54mm 2.54mm 250V 2x6P 3.2mm 3A 5mm Brass Gold Right Angle Side Square Hole 弯插,P=2.54mm Female Headers ROHS"
J7,Micro_SD_Card,TF PUSH,SHOU HAN,C393941,C393941,FIT,False,not applicable,"TF PUSH: matching data pin order, but peg-hole Y offset 0.22mm at nominal pad alignment. Assembly fit confirmation required.",-25℃~+90℃ 2mm Connector and Ejector MicroSD Card (TF Card) No Push-Push SMD SD Card / Memory Card Connector ROHS
L1,22u,VLS3012HBX-220M,TDK,C350879,C350879,FIT,False,match,22uH TDK in Bourns-named footprint; ratings reasonable; panel waveform/reference 47uH differs and needs qualification.,"1.09A 1.09A 22uH 662mΩ ±20% SMD,3x3mm Power Inductors ROHS"
L2,4.7u,VLS252010HBX-4R7M-1,TDK,C88528,C413592,FIT,False,match,"Order is C88528 HBX-4R7M-1; upload is C413592 HBU-4R7M. Both 4.7uH, but release record must specify the actual part.",1.4A 1.6A 240mΩ 4.7uH ±20% 1008 Power Inductors ROHS
Q1,FS8205A,FS8205A,TECH PUBLIC,C2830320,C2830320,FIT,False,not applicable,TECH PUBLIC 6-pin FS8205A pinout checked against manufacturer drawing; common-drain pins 2/5 internal.,-55℃~+150℃ 1.2V 1.5W 2 N-Channel 20V 31.5mΩ@2.5V 466pF 5.7nC@4.5V 58pF 65pF 6A SOT-23-6 MOSFETs ROHS
Q3,AO3419,AO3419,Alpha & Omega Semicon,C88053,C88053,FIT,False,not applicable,"Source=B+, gate referenced to B-. When USB enhances Q8, Q3 body diode can conduct into reversed cell even with Q3 channel off; reverse-insertion safety is not established.",-55℃~+150℃ 1 P-Channel 1.4W 140mΩ@2.5V 20V 3.5A 4.4nC@10V 400pF 500mV 52pF SOT-23 MOSFETs ROHS
Q4,BSS138,BSS138,hongjiacheng,C7420339,C7420339,FIT,False,not applicable,"HOLD on existing BSS138. Preferred replacement: genuine Infineon IRLML6346TRPBF C67276, SOT-23 G1/S2/D3; 80mohm max at 2.5V and 2.9nC typical gate charge. Split from Q5/Q6; verify panel-driven VGS/VDS/current waveforms. See root DESIGN_REVIEW.md section 7.",-55℃~+150℃ 1 N-channel 1.1Ω@10V、1.2Ω@4.5V 1.2V 1.7nC@10V 17.5pF 340mA 350mW 50V 6.5pF N-Channel SOT-23 MOSFETs ROHS
Q5,BSS138,BSS138,hongjiacheng,C7420339,C7420339,FIT,False,not applicable,Reasonable for 15mA color selection; do not apply Q4 boost-switch judgement to this low-current role.,-55℃~+150℃ 1 N-channel 1.1Ω@10V、1.2Ω@4.5V 1.2V 1.7nC@10V 17.5pF 340mA 350mW 50V 6.5pF N-Channel SOT-23 MOSFETs ROHS
Q6,BSS138,BSS138,hongjiacheng,C7420339,C7420339,FIT,False,not applicable,Reasonable for 15mA color selection. Inversion does not guarantee transient exclusivity; measure branch current during color changes. ADIM PWM low phases do not guarantee zero current.,-55℃~+150℃ 1 N-channel 1.1Ω@10V、1.2Ω@4.5V 1.2V 1.7nC@10V 17.5pF 340mA 350mW 50V 6.5pF N-Channel SOT-23 MOSFETs ROHS
Q7,AO3419,AO3419,Alpha & Omega Semicon,C88053,C88053,FIT,False,not applicable,"PMOS SD gate: source 3V3, drain SD_VDD, external gate pull-up. LOW on; high or high-Z without internal pulls off. Stop bus and avoid signal back-power before switching off.",-55℃~+150℃ 1 P-Channel 1.4W 140mΩ@2.5V 20V 3.5A 4.4nC@10V 400pF 500mV 52pF SOT-23 MOSFETs ROHS
Q8,AO3419,AO3419,Alpha & Omega Semicon,C88053,C88053,FIT,False,not applicable,"Source=P+, gate=GND. Charger can enhance it independently of battery polarity, defeating the assumed reverse blocking with Q3. Redesign/validate or restrict prototype battery handling.",-55℃~+150℃ 1 P-Channel 1.4W 140mΩ@2.5V 20V 3.5A 4.4nC@10V 400pF 500mV 52pF SOT-23 MOSFETs ROHS
R1,1M,0603WAF1004T5E,UNI-ROYAL(Uniroyal Elec),C22935,C22935,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 1MΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R2,5.1k,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),C23186,C23186,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 5.1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R3,5.1k,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),C23186,C23186,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 5.1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R4,10k,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),C25804,C25804,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R5,10k,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),C25804,C25804,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R6,4.7k,0603WAF4701T5E,UNI-ROYAL(Uniroyal Elec),C23162,C23162,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 4.7kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R7,10k,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),C25804,C25804,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R8,10k,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),C25804,C25804,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R9,10k,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),C25804,C25804,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R10,1M,0603WAF1004T5E,UNI-ROYAL(Uniroyal Elec),C22935,C22935,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 1MΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R11,12k,0603WAF1202T5E,UNI-ROYAL(Uniroyal Elec),C22790,C22790,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 12kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R12,1M,0603WAF1004T5E,UNI-ROYAL(Uniroyal Elec),C22935,C22935,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 1MΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R13,10k,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),C25804,C25804,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R14,3,RCA033RFLF,HKR(Hong Kong Resistors),C22356394,C22356394,FIT,False,match,3 ohm / 0.1W sense resistor; verify pulse/RMS heating. Full-rated continuous RMS is 183mA; not peak-current limit.,-55℃~+155℃ 100mW 3Ω 75V Thick Film Resistor ±1% ±200ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R15,10k,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),C25804,C25804,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R16,1k,0603WAF1001T5E,UNI-ROYAL(Uniroyal Elec),C21190,C21190,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R17,150k,0603WAF1503T5E,UNI-ROYAL(Uniroyal Elec),C22807,C22807,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 150kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R18,5.6k,0603WAF5601T5E,UNI-ROYAL(Uniroyal Elec),C23189,C23189,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 5.6kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R19,20k,0603WAF2002T5E,UNI-ROYAL(Uniroyal Elec),C4184,C4184,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 20kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R20,56k,0603WAF5602T5E,UNI-ROYAL(Uniroyal Elec),C23206,C23206,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 56kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
R21,33,0603WAF330JT5E,UNI-ROYAL(Uniroyal Elec),C23140,C23140,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,-55℃~+155℃ 100mW 33Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
